
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
RC0805FR-07100KL                 R235                             106   1      1   1   1 1           1 0 W01                 (729-7-13)
RC0805FR-07100KL                 R235                             106   1      2   2   1 2           2 0 XSIG011596          (1216-1-13)
RC0805FR-07100KL                 R237                             105   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R237                             105   1      2   2   1 2           2 0 XSIG011599          (1221-1-13)
RC0805FR-07100KL                 R238                             104   1      1   1   1 1           1 0 W02                 (729-8-13)
RC0805FR-07100KL                 R238                             104   1      2   2   1 2           2 0 XSIG011599          (1221-1-13)
RC0805FR-07100KL                 R241                             111   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R241                             111   1      2   2   1 2           2 0 XSIG011384          (729-88-13)
RC0805FR-07100KL                 R243                             110   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805FR-07100KL                 R243                             110   1      2   2   1 2           2 0 XSIG011385          (729-89-13)
RC0805JR-073K0L                  R009                              29   1      1   1   1 1           1 0 XSIG011410          (1136-6-13)
RC0805JR-073K0L                  R009                              29   1      2   2   1 2           2 0 XSIG011143          (729-38-13)
RC0805JR-073K3L                  R205                             176   1      1   1   1 1           1 0 CL_EN               (729-19-13)
RC0805JR-073K3L                  R205                             176   1      2   2   1 2           2 0 XSIG011284          (729-73-13)
RC0805JR-073K3L                  R220                             177   1      1   1   1 1           1 0 FA_EN               (729-17-13)
RC0805JR-073K3L                  R220                             177   1      2   2   1 2           2 0 XSIG011266          (729-68-13)
RC0805JR-074K7L                  R004                              80   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805JR-074K7L                  R004                              80   1      2   2   1 2           2 0 XSIG011410          (1136-6-13)
RC0805JR-0710KL                  R026                              48   1      1   1   1 1           1 0 sw                  (1266-1-13)
RC0805JR-0710KL                  R026                              48   1      2   2   1 2           2 0 +3.3V               (729-31-13)
RC0805JR-0720KL                  R231                             155   1      1   1   1 1           1 0 GND                 (729-26-13)
RC0805JR-0720KL                  R231                             155   1      2   2   1 2           2 0 XSIG011459          (729-93-13)
RC0805JR-0722RL                  R010                              45   1      1   1   1 1           1 0 XSIG011274          (729-57-13)
RC0805JR-0722RL                  R010                              45   1      2   2   1 2           2 0 D-2                 (1301-3-13)
RC0805JR-0722RL                  R011                              44   1      1   1   1 1           1 0 XSIG011276          (729-59-13)
RC0805JR-0722RL                  R011                              44   1      2   2   1 2           2 0 D+2                 (1301-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
RC0805JR-0722RL                  R016                              43   1      1   1   1 1           1 0 SWDIO               (901-2-13)
RC0805JR-0722RL                  R016                              43   1      2   2   1 2           2 0 SWDIO.              (1236-1-13)
RC0805JR-0751KL                  R012                              68   1      1   1   1 1           1 0 +5v-2               (1301-4-13)
RC0805JR-0751KL                  R012                              68   1      2   2   1 2           2 0 XSIG011554          (1367-1-13)
RC0805JR-07100KL                 R013                              52   1      1   1   1 1           1 0 XSIG011521          (1295-2-13)
RC0805JR-07100KL                 R013                              52   1      2   2   1 2           2 0 XSIG011554          (1367-1-13)
RC0805JR-07100KL                 R200                              51   1      1   1   1 1           1 0 XSIG011268          (729-69-13)
RC0805JR-07100KL                 R200                              51   1      2   2   1 2           2 0 +12V                (729-74-13)
RC0805JR-07300KL                 R103                             136   1      1   1   1 1           1 0 XSIG011075          (871-1-13)
RC0805JR-07300KL                 R103                             136   1      2   2   1 2           2 0 XSIG010912          (729-100-13)
RC0805JR-07300RL                 R020                              53   1      1   1   1 1           1 0 XSIG011547          (1313-1-13)
RC0805JR-07300RL                 R020                              53   1      2   2   1 2           2 0 XSIG011156          (729-39-13)
RC1206FR-0710RL                  R202                             169   1      1   1   1 1           1 0 +12V                (729-74-13)
RC1206FR-0710RL                  R202                             169   1      2   2   1 2           2 0 XSIG011272          (729-71-13)
RC1206JR-070RL                   R007                              27   1      1   1   1 1           1 0 XSIG011122          (729-34-13)
RC1206JR-070RL                   R007                              27   1      2   2   1 2           2 0 XSIG011137          (729-37-13)
RC1206JR-070RL                   R008                              28   1      1   1   1 1           1 0 XSIG011123          (729-35-13)
RC1206JR-070RL                   R008                              28   1      2   2   1 2           2 0 XSIG011143          (729-38-13)
RC1206JR-070RL                   R100                              23   1      1   1   1 1           1 0 GND                 (729-26-13)
RC1206JR-070RL                   R100                              23   1      2   2   1 2           2 0 -RP                 (729-23-13)
RC1206JR-070RL                   R101                              26   1      1   1   1 1           1 0 ISOGND              (729-33-13)
RC1206JR-070RL                   R101                              26   1      2   2   1 2           2 0 -RP                 (729-23-13)
RC1206JR-070RL                   R102                              25   1      1   1   1 1           1 0 +5V                 (729-95-13)
RC1206JR-070RL                   R102                              25   1      2   2   1 2           2 0 +5VISO              (729-36-13)
RC1206JR-070RL                   R1001                             24   1      1   1   1 1           1 0 XSIG011075          (871-1-13)
RC1206JR-070RL                   R1001                             24   1      2   2   1 2           2 0 XSIG011076          (871-2-13)
SDR0403-4R7ML                    L201                             168   1      1   1   1 1           1 0 +12V                (729-74-13)
SDR0403-4R7ML                    L201                             168   1      2   2   1 2           2 0 XSIG011438          (729-92-13)
SDR0805-4R7ML                    L101                             127   1      1   1   1 1           1 0 XSIG010972          (729-108-13)
SDR0805-4R7ML                    L101                             127   1      2   2   1 2           2 0 +5V                 (729-95-13)
SDR0805-331KL                    L100                             134   1      1   1   1 1           1 0 XSIG010932          (729-104-13)
SDR0805-331KL                    L100                             134   1      2   2   1 2           2 0 +12V                (729-74-13)
SMBJ60A                          D100                             121   1      1   1   1 2           2 0 -RP                 (729-23-13)
SMBJ60A                          D100                             121   1      2   2   1 1           1 0 +RP                 (729-22-13)
SMLVT3V3                         D208                             159   1      1   1   1 2           2 0 GND                 (729-26-13)
SMLVT3V3                         D208                             159   1      2   2   1 1           1 0 +3.3V-2             (729-55-13)
SM712.TCT                        D000                              56   1      1   1   1 3           3 0 ISOGND              (729-33-13)
SM712.TCT                        D000                              56   1      2   2   1 1           1 0 XSIG011379_1        (993-1-13)
SM712.TCT                        D000                              56   1      3   3   1 2           2 0 XSIG011374          (988-2-13)
SS26-LTP                         D102                             133   1      1   1   1 2           2 0 GND                 (729-26-13)
SS26-LTP                         D102                             133   1      2   2   1 1           1 0 XSIG010932          (729-104-13)
STM32F070CB                      U002                              96   1      1   1   1 44         44 0 XSIG011323          (820-4-13)
STM32F070CB                      U002                              96   1      2   2   1 7           7 0 NRST                (729-6-13)
STM32F070CB                      U002                              96   1      3   3   1 5           5 0 XSIG010919          (729-24-13)
STM32F070CB                      U002                              96   1      4   4   1 6           6 0 XSIG010920          (729-25-13)
STM32F070CB                      U002                              96   1      5   5   1 10         10 0 CL_PWR              (729-13-13)
STM32F070CB                      U002                              96   1      6   6   1 11         11 0 GS                  (1110-1-13)
STM32F070CB                      U002                              96   1      7   7   1 12         12 0 CL_VHI              (1172-1-13)
STM32F070CB                      U002                              96   1      8   8   1 13         13 0 XSIG011394          (1136-1-13)
STM32F070CB                      U002                              96   1      9   9   1 14         14 0 W02                 (729-8-13)
STM32F070CB                      U002                              96   1     10  10   1 15         15 0 W01                 (729-7-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
STM32F070CB                      U002                              96   1     11  11   1 16         16 0 GK01                (729-15-13)
STM32F070CB                      U002                              96   1     12  12   1 17         17 0 GK02                (729-16-13)
STM32F070CB                      U002                              96   1     13  13   1 29         29 0 XSIG011213          (729-49-13)
STM32F070CB                      U002                              96   1     14  14   1 30         30 0 XSIG011137          (729-37-13)
STM32F070CB                      U002                              96   1     15  15   1 31         31 0 XSIG011410          (1136-6-13)
STM32F070CB                      U002                              96   1     16  16   1 32         32 0 D-                  (1261-3-13)
STM32F070CB                      U002                              96   1     17  17   1 33         33 0 D+                  (1261-2-13)
STM32F070CB                      U002                              96   1     18  18   1 34         34 0 SWDIO               (901-2-13)
STM32F070CB                      U002                              96   1     19  19   1 37         37 0 SWDCLK              (901-1-13)
STM32F070CB                      U002                              96   1     20  20   1 38         38 0                     (0-0-0)
STM32F070CB                      U002                              96   1     21  21   1 18         18 0 FA02                (729-10-13)
STM32F070CB                      U002                              96   1     22  22   1 19         19 0 FA01                (729-9-13)
STM32F070CB                      U002                              96   1     23  23   1 20         20 0 PR_RST              (820-1-13)
STM32F070CB                      U002                              96   1     24  24   1 39         39 0 XSIG011547          (1313-1-13)
STM32F070CB                      U002                              96   1     25  25   1 40         40 0 +5v-1               (1261-1-13)
STM32F070CB                      U002                              96   1     26  26   1 41         41 0 sw                  (1266-1-13)
STM32F070CB                      U002                              96   1     27  27   1 42         42 0 XSIG011098          (729-32-13)
STM32F070CB                      U002                              96   1     28  28   1 43         43 0 XSIG011160          (729-40-13)
STM32F070CB                      U002                              96   1     29  29   1 45         45 0 K02                 (729-21-13)
STM32F070CB                      U002                              96   1     30  30   1 46         46 0 K01                 (729-20-13)
STM32F070CB                      U002                              96   1     31  31   1 21         21 0 FA_EN               (729-17-13)
STM32F070CB                      U002                              96   1     32  32   1 22         22 0                     (0-0-0)
STM32F070CB                      U002                              96   1     33  33   1 25         25 0                     (0-0-0)
STM32F070CB                      U002                              96   1     34  34   1 26         26 0                     (0-0-0)
STM32F070CB                      U002                              96   1     35  35   1 27         27 0                     (0-0-0)
STM32F070CB                      U002                              96   1     36  36   1 28         28 0                     (0-0-0)
STM32F070CB                      U002                              96   1     37  37   1 2           2 0                     (0-0-0)
STM32F070CB                      U002                              96   1     38  38   1 3           3 0 CL_EN               (729-19-13)
STM32F070CB                      U002                              96   1     39  39   1 4           4 0 GS_EN               (729-18-13)
STM32F070CB                      U002                              96   1     40  40   1 1           1 0 +3.3V               (729-31-13)
STM32F070CB                      U002                              96   2      1   1   2 48         48 0 +3.3V               (729-31-13)
STM32F070CB                      U002                              96   2      1   1   3 36         36 0 +3.3V               (729-31-13)
STM32F070CB                      U002                              96   2      1   1   4 24         24 0 +3.3V               (729-31-13)
STM32F070CB                      U002                              96   2      1   1   5 9           9 0 XSIG011590          (1543-2-13)
STM32F070CB                      U002                              96   3      1   1   6 47         47 0 GND                 (729-26-13)
STM32F070CB                      U002                              96   3      1   1   7 35         35 0 GND                 (729-26-13)
STM32F070CB                      U002                              96   3      1   1   8 23         23 0 GND                 (729-26-13)
STM32F070CB                      U002                              96   3      1   1   9 8           8 0 GND                 (729-26-13)
TAJC227K006R                     C203                             152   1      1   1   1 1           1 0 XSIG011545          (820-11-13)
TAJC227K006R                     C203                             152   1      2   2   1 2           2 0 GND                 (729-26-13)
TH_Single_Conn_1.5mm             XF002                             77   1      1   1   1 1           1 0 XSIG011213          (729-49-13)
TH_Single_Conn_1.5mm             XF003                             76   1      1   1   1 1           1 0 XSIG011394          (1136-1-13)
TH_Single_Conn_1.5mm             XF100                             71   1      1   1   1 1           1 0 -RP                 (729-23-13)
TH_Single_Conn_1.5mm             XF101                             72   1      1   1   1 1           1 0 XSIG011076          (871-2-13)
TH_Single_Conn_1.5mm             XF102                             73   1      1   1   1 1           1 0 +5V                 (729-95-13)
TH_Single_Conn_1.5mm             XF103                             79   1      1   1   1 1           1 0 GND                 (729-26-13)
TH_Single_Conn_1.5mm             XF104                             75   1      1   1   1 1           1 0 ISOGND              (729-33-13)
TH_Single_Conn_1.5mm             XF105                             74   1      1   1   1 1           1 0 +5VISO              (729-36-13)
TH_Single_Conn_1.5mm             XF106                             78   1      1   1   1 1           1 0 +12V                (729-74-13)
TPS562200DD                      U102                             126   1      1   1   1 5           5 0 XSIG010970          (729-106-13)
TPS562200DD                      U102                             126   1      2   2   1 1           1 0 GND                 (729-26-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
TPS562200DD                      U102                             126   1      3   3   1 2           2 0 XSIG010972          (729-108-13)
TPS562200DD                      U102                             126   1      4   4   1 6           6 0 XSIG010971          (729-107-13)
TPS562200DD                      U102                             126   1      5   5   1 4           4 0 XSIG010980          (729-109-13)
TPS562200DD                      U102                             126   1      6   6   1 3           3 0 +12V                (729-74-13)
USBLC6-2SC6                      D001                              31   1      1   1   1 1           1 0 D-1                 (1343-2-13)
USBLC6-2SC6                      D001                              31   1      2   2   1 2           2 0 GND                 (729-26-13)
USBLC6-2SC6                      D001                              31   1      3   3   1 3           3 0 D+1                 (1343-1-13)
USBLC6-2SC6                      D001                              31   1      4   4   1 4           4 0 D+                  (1261-2-13)
USBLC6-2SC6                      D001                              31   1      5   5   1 5           5 0 +3.3V               (729-31-13)
USBLC6-2SC6                      D001                              31   1      6   6   1 6           6 0 D-                  (1261-3-13)
15EDGVC-3.81-03P                 XM201                            154   1      1   1   1 1           1 0 XSIG011371          (729-80-13)
15EDGVC-3.81-03P                 XM201                            154   1      2   2   1 2           2 0 XSIG011372          (729-81-13)
15EDGVC-3.81-03P                 XM201                            154   1      3   3   1 3           3 0 XSIG011373          (729-82-13)
15EDGVC-3.81-03P                 XM202                            153   1      1   1   1 1           1 0 XSIG011376          (729-83-13)
15EDGVC-3.81-03P                 XM202                            153   1      2   2   1 2           2 0 XSIG011377          (729-84-13)
15EDGVC-3.81-03P                 XM202                            153   1      3   3   1 3           3 0 XSIG011378          (729-85-13)
15EDGVC-3.81-04P                 XM000                             22   1      1   1   1 1           1 0 +RP                 (729-22-13)
15EDGVC-3.81-04P                 XM000                             22   1      2   2   1 2           2 0 XSIG011389          (1061-1-13)
15EDGVC-3.81-04P                 XM000                             22   1      3   3   1 3           3 0 XSIG011390          (1061-2-13)
15EDGVC-3.81-04P                 XM000                             22   1      4   4   1 4           4 0 -RP                 (729-23-13)
15EDGVC-3.81-08P                 XM200                            158   1      1   1   1 1           1 0 XSIG011610          (1226-2-13)
15EDGVC-3.81-08P                 XM200                            158   1      2   2   1 2           2 0 XSIG011612          (1226-3-13)
15EDGVC-3.81-08P                 XM200                            158   1      3   3   1 3           3 0 XSIG011606          (1226-1-13)
15EDGVC-3.81-08P                 XM200                            158   1      4   4   1 4           4 0 XSIG011613          (1226-4-13)
15EDGVC-3.81-08P                 XM200                            158   1      5   5   1 5           5 0 XSIG011615          (1226-5-13)
15EDGVC-3.81-08P                 XM200                            158   1      6   6   1 6           6 0 +                   (1211-1-13)
15EDGVC-3.81-08P                 XM200                            158   1      7   7   1 7           7 0 XSIG011596          (1216-1-13)
15EDGVC-3.81-08P                 XM200                            158   1      8   8   1 8           8 0 XSIG011599          (1221-1-13)
0805YD225KAT2A                   C101                             128   1      1   1   1 1           1 0 GND                 (729-26-13)
0805YD225KAT2A                   C101                             128   1      2   2   1 2           2 0 +3.3V               (729-31-13)
0805YD475KAT2A                   C012                              69   1      1   1   1 1           1 0 GND                 (729-26-13)
0805YD475KAT2A                   C012                              69   1      2   2   1 2           2 0 +3.3V               (729-31-13)
0805YD475KAT2A                   C015                              70   1      1   1   1 1           1 0 GND                 (729-26-13)
0805YD475KAT2A                   C015                              70   1      2   2   1 2           2 0 +3.3V               (729-31-13)
7914J                            SW000                            112   1      1   1   1 1           1 0 PR_RST              (820-1-13)
7914J                            SW000                            112   1      2   2   1 2           2 0 PR_RST              (820-1-13)
7914J                            SW000                            112   1      3   3   1 3           3 0 GND                 (729-26-13)
7914J                            SW000                            112   1      4   4   1 4           4 0 GND                 (729-26-13)
08053C102KAT2A                   C109                             123   1      1   1   1 1           1 0 XSIG010920_2        (729-103-13)
08053C102KAT2A                   C109                             123   1      2   2   1 2           2 0 +12V                (729-74-13)
08053C105KAT2A                   C008                              93   1      1   1   1 1           1 0 GND                 (729-26-13)
08053C105KAT2A                   C008                              93   1      2   2   1 2           2 0 XSIG011590          (1543-2-13)
08053C105KAT2A                   C100                              91   1      1   1   1 1           1 0 GND                 (729-26-13)
08053C105KAT2A                   C100                              91   1      2   2   1 2           2 0 +5V                 (729-95-13)
08053C105KAT2A                   C110                              94   1      1   1   1 1           1 0 GND                 (729-26-13)
08053C105KAT2A                   C110                              94   1      2   2   1 2           2 0 +12V                (729-74-13)
08053C105KAT2A                   C200                              92   1      1   1   1 1           1 0 GND                 (729-26-13)
08053C105KAT2A                   C200                              92   1      2   2   1 2           2 0 +                   (1211-1-13)
08053C105KAT2A                   C208                              95   1      1   1   1 1           1 0 +3.3V-2             (729-55-13)
08053C105KAT2A                   C208                              95   1      2   2   1 2           2 0 GND                 (729-26-13)
08055A103JAT2A                   C201                             143   1      1   1   1 1           1 0 GND                 (729-26-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
08055A103JAT2A                   C201                             143   1      2   2   1 2           2 0 CL_VHI              (1172-1-13)
08055A103JAT2A                   C202                             142   1      1   1   1 1           1 0 GND                 (729-26-13)
08055A103JAT2A                   C202                             142   1      2   2   1 2           2 0 CL_PWR              (729-13-13)
08055A220JAT2A                   C005                               2   1      1   1   1 1           1 0 XSIG010919          (729-24-13)
08055A220JAT2A                   C005                               2   1      2   2   1 2           2 0 GND                 (729-26-13)
08055A220JAT2A                   C006                               1   1      1   1   1 1           1 0 GND                 (729-26-13)
08055A220JAT2A                   C006                               1   1      2   2   1 2           2 0 XSIG010920          (729-25-13)
08055C103KAT2A                   C007                              90   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C103KAT2A                   C007                              90   1      2   2   1 2           2 0 XSIG011590          (1543-2-13)
08055C104KAT2A                   C000                              33   1      1   1   1 1           1 0 ISOGND              (729-33-13)
08055C104KAT2A                   C000                              33   1      2   2   1 2           2 0 +5VISO              (729-36-13)
08055C104KAT2A                   C001                              34   1      1   1   1 1           1 0 ISOGND              (729-33-13)
08055C104KAT2A                   C001                              34   1      2   2   1 2           2 0 +5VISO              (729-36-13)
08055C104KAT2A                   C002                              40   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C002                              40   1      2   2   1 2           2 0 +3.3V               (729-31-13)
08055C104KAT2A                   C003                              38   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C003                              38   1      2   2   1 2           2 0 +3.3V               (729-31-13)
08055C104KAT2A                   C004                              36   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C004                              36   1      2   2   1 2           2 0 +5v-1               (1261-1-13)
08055C104KAT2A                   C009                              39   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C009                              39   1      2   2   1 2           2 0 +3.3V               (729-31-13)
08055C104KAT2A                   C010                              42   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C010                              42   1      2   2   1 2           2 0 +3.3V               (729-31-13)
08055C104KAT2A                   C011                              41   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C011                              41   1      2   2   1 2           2 0 +3.3V               (729-31-13)
08055C104KAT2A                   C013                              37   1      1   1   1 1           1 0 GND                 (729-26-13)
08055C104KAT2A                   C013                              37   1      2   2   1 2           2 0 +3.3V               (729-31-13)
08055C104KAT2A                   C108                              35   1      1   1   1 1           1 0 XSIG010971          (729-107-13)
08055C104KAT2A                   C108                              35   1      2   2   1 2           2 0 XSIG010972          (729-108-13)
08056D226KAT2A                   C111                             131   1      1   1   1 1           1 0 GND                 (729-26-13)
08056D226KAT2A                   C111                             131   1      2   2   1 2           2 0 +5V                 (729-95-13)
08056D226KAT2A                   C112                             130   1      1   1   1 1           1 0 GND                 (729-26-13)
08056D226KAT2A                   C112                             130   1      2   2   1 2           2 0 +5V                 (729-95-13)
1981568-1                        XF001                             85   1      1   1   1 1           1 0 +5v-2               (1301-4-13)
1981568-1                        XF001                             85   1      2   2   1 3           3 0 XSIG011276          (729-59-13)
1981568-1                        XF001                             85   1      3   3   1 2           2 0 XSIG011274          (729-57-13)
1981568-1                        XF001                             85   1      4   4   1 5           5 0 XSIG011521          (1295-2-13)
1981568-1                        XF001                             85   1      5   5   1 4           4 0                     (0-0-0)
1981568-1                        XF001                             85   1      6   6   1 6           6 0 XSIG011521          (1295-2-13)
1981568-1                        XF001                             85   1      7   7   1 7           7 0 XSIG011521          (1295-2-13)
1981568-1                        XF001                             85   1      8   8   1 8           8 0 XSIG011521          (1295-2-13)
1981568-1                        XF001                             85   1      9   9   1 9           9 0 XSIG011521          (1295-2-13)
1981568-1                        XF001                             85   1     10  10   1 10         10 0 XSIG011521          (1295-2-13)
1981568-1                        XF001                             85   1     11  11   1 11         11 0 XSIG011521          (1295-2-13)
