
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
BLM21PG220SN1D                   L200                              81   1      1   1   1 1           1 0 +5V                 (729-95-13)
BLM21PG220SN1D                   L200                              81   1      2   2   1 2           2 0 XSIG011545          (820-11-13)
BLM21PG220SN1D                   L202                              83   1      1   1   1 1           1 0 +3.3V-2             (729-55-13)
BLM21PG220SN1D                   L202                              83   1      2   2   1 2           2 0 +3.3V               (729-31-13)
B82793                           L000                              84   1      1   1   1 1           1 0 XSIG011390          (1061-2-13)
B82793                           L000                              84   1      2   2   1 2           2 0 XSIG011379_1        (993-1-13)
B82793                           L000                              84   1      3   3   1 3           3 0 XSIG011374          (988-2-13)
B82793                           L000                              84   1      4   4   1 4           4 0 XSIG011389          (1061-1-13)
CC0805JRNPO9BN103                C107                             132   1      1   1   1 1           1 0 XSIG010933          (729-105-13)
CC0805JRNPO9BN103                C107                             132   1      2   2   1 2           2 0 XSIG010932          (729-104-13)
CC0805JRX7R9BB104                C014                              49   1      1   1   1 1           1 0 GND                 (729-26-13)
CC0805JRX7R9BB104                C014                              49   1      2   2   1 2           2 0 PR_RST              (820-1-13)
CC0805JRX7R9BB104                C105                              50   1      1   1   1 1           1 0 GND                 (729-26-13)
CC0805JRX7R9BB104                C105                              50   1      2   2   1 2           2 0 +12V                (729-74-13)
CC0805KKX5R8BB106                C104                             118   1      1   1   1 1           1 0 GND                 (729-26-13)
CC0805KKX5R8BB106                C104                             118   1      2   2   1 2           2 0 +12V                (729-74-13)
CC0805KKX7R0BB104                C103                             124   1      1   1   1 1           1 0 GND                 (729-26-13)
CC0805KKX7R0BB104                C103                             124   1      2   2   1 2           2 0 XSIG011075          (871-1-13)
CC0805KKX7R8BB105                C106                             135   1      1   1   1 1           1 0 GND                 (729-26-13)
CC0805KKX7R8BB105                C106                             135   1      2   2   1 2           2 0 XSIG010916          (729-102-13)
CC1206KKX7R0BB105                C102                             119   1      1   1   1 1           1 0 GND                 (729-26-13)
CC1206KKX7R0BB105                C102                             119   1      2   2   1 2           2 0 XSIG011075          (871-1-13)
C_100uF_25V_KF                   C206                             166   1      1   1   1 1           1 0 XSIG011438          (729-92-13)
C_100uF_25V_KF                   C206                             166   1      2   2   1 2           2 0 GND                 (729-26-13)
C_100uF_25V_KF                   C207                             167   1      1   1   1 1           1 0 +12V                (729-74-13)
C_100uF_25V_KF                   C207                             167   1      2   2   1 2           2 0 GND                 (729-26-13)
DM1-01C-30                       SW001                             54   1      1   1   1 1           1 0 sw2                 (1301-1-13)
DM1-01C-30                       SW001                             54   1      2   2   1 2           2 0 XSIG011521          (1295-2-13)
DM1-01C-30                       SW001                             54   1      3   3   1 3           3 0                     (0-0-0)
EDGE_Knife                       XM36                              87   1      1   1   1 1           1 0                     (0-0-0)
EDGE_Knife                       XM36                              87   1      2   2   1 2           2 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
EDGE_Knife                       XM36                              87   1      3   3   1 3           3 0                     (0-0-0)
EDGE_Knife                       XM36                              87   1      4   4   1 4           4 0                     (0-0-0)
EDGE_Knife                       XM36                              87   1      5   5   1 5           5 0 GND                 (729-26-13)
EDGE_Knife                       XM38                              86   1      1   1   1 1           1 0 +5v-2               (1301-4-13)
EDGE_Knife                       XM38                              86   1      2   2   1 2           2 0 D-2                 (1301-3-13)
EDGE_Knife                       XM38                              86   1      3   3   1 3           3 0 D+2                 (1301-2-13)
EDGE_Knife                       XM38                              86   1      4   4   1 4           4 0 sw2                 (1301-1-13)
EDGE_Knife                       XM38                              86   1      5   5   1 5           5 0 XSIG011521          (1295-2-13)
EDGE_Knife_r                     XM37                              88   1      1   1   1 1           1 0 +5v-1               (1261-1-13)
EDGE_Knife_r                     XM37                              88   1      2   2   1 2           2 0 D-1                 (1343-2-13)
EDGE_Knife_r                     XM37                              88   1      3   3   1 3           3 0 D+1                 (1343-1-13)
EDGE_Knife_r                     XM37                              88   1      4   4   1 4           4 0 sw                  (1266-1-13)
EDGE_Knife_r                     XM37                              88   1      5   5   1 5           5 0 GND                 (729-26-13)
EDGE_Knife_r                     XM39                              89   1      1   1   1 1           1 0 +5v-2               (1301-4-13)
EDGE_Knife_r                     XM39                              89   1      2   2   1 2           2 0 D-2                 (1301-3-13)
EDGE_Knife_r                     XM39                              89   1      3   3   1 3           3 0 D+2                 (1301-2-13)
EDGE_Knife_r                     XM39                              89   1      4   4   1 4           4 0 sw2                 (1301-1-13)
EDGE_Knife_r                     XM39                              89   1      5   5   1 5           5 0 XSIG011521          (1295-2-13)
ES3J                             D101                             122   1      1   1   1 2           2 0 +RP                 (729-22-13)
ES3J                             D101                             122   1      2   2   1 1           1 0 XSIG011076          (871-2-13)
FYLS-0603UBC                     D003                              97   1      1   1   1 2           2 0 +3.3V               (729-31-13)
